"Campaign","Payout Type","Publisher","Experiment IntelliBid","Impressions","Conversions","Conversions one day","Booked Revenue (INR)","Cost (INR)","ePPC (INR)","ePPA (INR)"
"","","rtbpubmatc","A23","21573.0","0.0","0.0","0.0","1140.0941772","NaN","NaN"
"","","rtbtanx","A23","2540.0","0.0","0.0","0.0","30.931558019999997","NaN","NaN"
"prettysecrets","CPC","rtb-rubicon","A23","2947.0","0.0","0.0","196.0","190.88968667999998","7.0","Infinity"
"","","rtbappnexus","A23","9907.0","1.0","1.0","588.0","602.4273473750001","7.0","588.0"
"","","rtbpubmatc","A23","3684.0","0.0","0.0","161.0","232.72160175","7.0","Infinity"
"Dospara-japan","CPC","rtbFB-XNF","A23","2.0","0.0","0.0","0.0","0.511165305","NaN","NaN"
"","","rtbFBX","A23","2.0","0.0","0.0","0.0","0.114213855","NaN","NaN"
"JP_ABC-Mart_Mobile","CPC","Adstir","A23","71065.0","17.0","1.0","4244.372748603","1685.068365008","13.3332477259542","308.2333150764706"
"","","OpenX_CCI","A23","35811.0","8.0","4.0","2602.4339285730002","1690.750819","13.331458063485476","401.61017416249996"
"","","rtbfluct","A23","27337.0","25.0","5.0","2376.069695694","2125.2622214","13.333724442727274","117.336775096"
"JP_Bizreach_Direct","CPA","rtbFBX","A23","99.0","0.0","0.0","0.0","2.7795460349999996","NaN","NaN"
"JP_Crosscollection","CPC","rtbFB-XNF","A23","1.0","0.0","0.0","0.0","0.089355525","NaN","NaN"
"","","rtbFBX","A23","6.0","0.0","0.0","0.0","0.212303385","NaN","NaN"
"JP_DHC_MW","CPC","Adstir","A23","88318.0","28.0","1.0","5030.963223561","3873.5553027240003","32.01580261907216","221.82377528928572"
"","","rtbappnexus","A23","5032.0","4.0","1.0","492.769736919","377.340404238","32.018826310526315","152.089424975"
"","","rtbfluct","A23","27998.0","24.0","3.0","3007.499018634","2733.5648321999997","32.00829096034483","154.70673964166667"
"","","rtbgeniee","A23","32437.0","9.0","4.0","2955.3645511530003","1221.878240125","32.00524746754386","405.39980125555553"
"","","rtbyieldone","A23","12959.0","8.0","1.0","855.579456864","647.4934169620001","32.00821013333334","132.03386680000003"
"JP_FromA","CPC","rtbFB-XNF","A23","1.0","0.0","0.0","0.0","0.14108766","NaN","NaN"
"","","rtbFBX","A23","4.0","0.0","0.0","0.0","0.003359265","NaN","NaN"
"JP_HOMES_apartment","CPC","rtbFBX","A23","1.0","0.0","0.0","0.0","0.144446925","NaN","NaN"
"JP_Jalan_New","CPC","rtbFBX","A23","21.0","0.0","0.0","0.0","0.797409375","NaN","NaN"
"JP_Jalan_Old","CPC","rtbFB-XNF","A23","3974.0","27.0","5.0","3135.2373185400006","1569.732010245","27.12143009117647","136.61164786666666"
"","","rtbFBX","A23","68448.0","26.0","2.0","3348.8344800950003","2482.99890342","23.451221849404764","151.53097195"
"","","rtb-google-auto","A23","227334.0","94.0","20.0","12442.789961335","8151.140191064","24.1162708815486","155.72953643723403"
"","","OpenX_CCI","A23","205489.0","43.0","12.0","9236.72114362","19840.89954","23.120703738723403","252.714668772093"
"","","rtbadfunnel","A23","150957.0","51.0","20.0","10261.000873135","4438.57544235","21.90883073157895","236.70128888431375"
"","","rtbappnexus","A23","107317.0","51.0","19.0","8422.3018842","6680.086150402","24.648234955223877","194.2860872941176"
"JP_Jalan_Old_mobile","CPC","rtb-google-auto","A23","401840.0","25.0","1.0","2032.111502568","7084.19005112","12.119708371014493","100.351185312"
"","","Adstir","A23","138991.0","43.0","3.0","1983.6934979850002","3027.5961234800006","14.664696517964071","56.953588802325584"
"","","rtbappnexus","A23","4.0","0.0","0.0","0.0","0.116671088","NaN","NaN"
"JP_Lacoste","CPC","rtbFBX","A23","19.0","0.0","0.0","0.0","0.29617539","NaN","NaN"
"JP_LiveMax","CPC","rtbFBX","A23","30.0","0.0","0.0","0.0","1.336590465","NaN","NaN"
"JP_MenzStyle","CPC","rtbFBX","A23","5.0","0.0","0.0","0.0","0.316308615","NaN","NaN"
"JP_Mizunoshop","CPC","rtbFBX","A23","7.0","0.0","0.0","0.0","0.070154385","NaN","NaN"
"JP_MonotaRO","CPC","rtbFBX","A23","3.0","0.0","0.0","0.0","0.0","NaN","NaN"
"JP_MouseComputer","CPC","rtbFBX","A23","27.0","0.0","0.0","0.0","0.91236684","NaN","NaN"
"JP_Mynavi_Job_Mobile","CPC","rtb-google-auto","A23","1.0","29.0","0.0","0.0","0.056576","NaN","0.0"
"","","Adstir","A23","0.0","10.0","0.0","0.0","0.0","NaN","0.0"
"JP_Renta_Papy_Mobile","CPC","Adstir","A23","590.0","3494.0","0.0","0.0","13.160274392","NaN","0.0"
"JP_Salus","CPC","rtbFBX","A23","2.0","0.0","0.0","0.0","0.15281574","NaN","NaN"
"JP_StImage","CPC","rtbFBX","A23","1.0","0.0","0.0","0.0","0.4400592","NaN","NaN"
"JP_Townwork","CPC","rtb-google-auto","A23","16480.0","32.0","11.0","2208.3504977000002","880.625740488","27.26358639135803","69.01095305312501"
"","","rtbadfunnel","A23","23478.0","19.0","4.0","2701.6352742","648.878743065","23.090899779487177","142.19133022105262"
